sno,project_id,ro_pd_name,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,url
356,58165,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation to two lane with paved shoulder Anjangaon-Paratwada-M.P.Border Section of NH-548C from 84.80 to Km. 126.160 on EPC mode in the state of Maharashtra (Length 41.360 Km.) (Job No.NH-548C-MAH-2016-17-1095 Dated 25.01.2017),,70.024,67.899,2.125,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58165
357,58166,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation to two/four lane with paved shoulder of Morshi â€“ Chandubazar-Achalpur Road from Km. 0.00 (Moorshi) to Km. 53.719 (Achalpur) of NH-353J on EPC mode in the state of Maharashtra Length - 53.71 Km (Job No.NH-353J-MAH-2016-17-1088 Dated 24.01.2017),,128.92,120,8.92,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58166
358,58167,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation to two lane with paved shoulder from Ch. 0.00 to Km. 43.00 Amravati (Nandgaon)-Morshi-Warud â€“ Pandhurana road (Section - Nandgaon Peth to Morshi) of NH-353K on EPC mode in the state of Maharashtra Length â€“ 43.00 Km. (Job No.NH-353K-MAH-2016-17-1078 Dated 24.01.2017),,134.66,127.92,6.74,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58167
359,58168,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation to two lane with paved shoulder of Amravati -Nandgaon - Warud -Pandhurana road - Morshi to MH/MP state border from Km. 52.440 to Km. 0.00 (Design Km. 43.000 to Km. 95.390) of NH-353K on EPC mode in the state of Maharashtra (Section Morshi to Pandhurana State Border) Length 53.39 Km. (Job No.NH-353K-MAH-2016-17-1097 Dated 27.01.2017),,162.35,151.96,10.39,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58168
360,58169,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation to two lanes with paved shoulder of NH-753E from Km. 182.480 (Ajantha) to Km. 231.804 (Buldhana) (Desing Km. 0.00 to Km. 49.130 on EPC mode in the state of Maharashtra (Section Ajanta to Buldhana) Length â€“ 49.13 Km (Job No.NH-753E-MAH-2016-17-1124 Dated 9.02.2017),,128.325,119.475,8.85,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58169
361,58170,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation to two lane with paved shoulder of Ajanta â€“ Buldhana â€“ Khamgaon â€“ Shegaon â€“ Deori road NH-548C (design Ch. Km. 0.00 to Km 22/800) (Section Khamgaon - Shegaon) on EPC mode in the state of Maharashtra (Length â€“ 22.800 Km) (Job No.NH-548C-MAH-2016-17-1112 Dated 6.02.2017),,58.64,56.2584,2.3816,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58170
362,58171,CE-NH (PWD Mahrashtra),Construction of New 2 lane Bridge over Purna River including approaches in Shegaon-Deori Fata Section of NH-548C in the State of Maharashta on EPC Mode.(Job No-NH-548C-MAH-2020-21-47),,4.284,2.244,2.04,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58171
363,58172,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation of Mehakar â€“ Chikhali - Khamgaon road (Section Mehakar to Cikhli ) from Lonar Phata at existing Km. 221.906 to SH-214 to Mehkar Phata near Chikhli of NH-548CC (design Km. 0.00 to Km 39.700) to two lane with paved shoulder on EPC mode in the state of Maharashtra (Length â€“ 39.70 Km.) (Job No.NH-548C-MAH-2016-17-1117 Dated 6.02.2017),,95.28,86.247,9.033,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58172
364,58173,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation of Mantha - Lonar - Mehakar â€“ Chikhli - Khamgaon road (Section Chikhali - Khamgaon ) from Buldhana Bank Chowk near Chikhali to junction of MSH-24 and SH 222 near Khamgaon of NH-548C (Design Km. 43.962 to Km. 100.065) to two lane with paved shoulder on EPC mode in the State of Maharashtra Length â€“ 56.10 Km. (Job No.NH-548C-MAH-2016-17-1134 Dated 20.02.2017),,142.94,128.86,14.08,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58173
365,58175,CE-NH (PWD Mahrashtra),"Highway starting from its junction with NH-52(211) near Tuljapur connecting to Andur, Naldurg, Hannur, Akkalkot, Tadwal, Korsegaon, Tadwal junction of NH-150 and terminating at NH-52 near Takali in the state of Maharashtra",,175.3425,26.9255,148.417,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58175
366,58176,RO MPRDC Bhopal,"Land Acquisition on NH 7, 12A and the new Alignment connection NH-7 (Jabalpur â€“ Lakhanadone Section) with NH-12A (Jabalpur â€“ Mandla â€“ Chilpi Section) and new alignment for extension of Jabalpur Bypass beyond Panagar on NH-7 in the state of Madhya Pradesh",,300,98.94,201.06,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58176
367,58184,CE-NH (PWD Mahrashtra),Rehabilitation & Upgradation of Kusumba to Malegaon section of NH-160H (Design Ch. Km. 54/155 to Km. 95/500) 2 lane with paved shoulder configuration in the State of Maharashtra on EPC Mode,,102,98,4,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58184
368,58185,CE-NH (PWD Mahrashtra),Estimate of Upgradation to two lane with paved shoulder of Sarad - Vani - Pimpalgoan- Baswant section of NH-953 from Km. 121.500 to 161.281 on EPC mode in the state of Maharashtra,,101,93,8,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58185
369,58186,RO Patna,Strengthening & Widening to 2 lane with paved shoulder from km 142.05 to 167.465 of NH - 120 ( Goh - Daudnagar ) in the State of Bihar on EPC mode .,,46.15,43.85,2.3,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58186
370,58190,(RO Bangalore),Widening to two lane with paved shoulders from Km 4.40 to 56.00 of NH-218 Bijapur-Hubli section in the state of Karnataka through EPC Mode (Job No-NH-218-KNT-2016-17-836),,177.94,159.08,18.86,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58190
371,58192,CE-NH (PWD Mahrashtra),"Rehabilitation and up gradation of stretches of SH- 317 from Kalamb- Ralegaon â€“ Wadki (existing Ch. 92+000 to 142+632, design Ch. 0+000 to 50+275 Joining NH-7) of NH-361 B to two lane with Paved shoulder on EPC mode in the State of Maharashtra (Pac-21/Amravati)",,140.216,105.216,35,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58192
372,58194,(CE-NH) MSRDC,"Rehabilitation and Upgradation of Sakri - Pimpalner - Satana -Mangrul - Manmad road, NH- 752G Two lane with paved shoulder, Section - I Km 0+000 to Km. 21+427",,51.564,51.42,0.144,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58194
373,58196,RO Patna,"Acquistion of land respect of National Highway No.-19 in the state of bihar on the Stretch from Km 207.200 ( Ramashish Chowk ) Hajipur , Vaishali to Km. 221.700 ( Zero Mile ).",,119.642,115.612,4.03,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58196
374,58200,(CE-NH) MSRDC,Upgradation of Khamgaon to Deulgaon Sakarsha Section (Length of 35.786 Km) of NH-548 C from Existing Ch. 565+653 to Ch. 529+867 (Design Ch. 0+000 to 35+786) in the State of Maharashtra to 2 Lane with Paved Shoulder on EPC mode.(Package-I),,89.43,83.55,5.88,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58200
375,58201,(CE-NH) MSRDC,Upgradation of Deulgaon Sakarsha to Mehkar Section (Length of 36 Km) of NH-548C from Existing Ch. 529+867 to Ch. 493+867 (Design Ch. 35+786 to 71+786) in the State of Maharashtra to 2 Lane with Paved Shoulder on EPC mode (Package-II).,,91.9,89.87,2.03,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58201
376,58202,(CE-NH) MSRDC,"Rehabilitation & Up-gradation of Mehkar to Ajispur, of NH-548 C from existing Ch. 493+867 to Ch. 461+646 (Design Ch. 00+000 to Ch 35+836) to Two lane configuration with paved shoulders in the state of Maharashtra on EPC mode (Package-III)â€",,73.316,70.964,2.352,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58202
377,58205,(RO Bangalore),"consultancy services for feasibility study ,detailed project report survey and preparation of land plan for bypass from lingasugur of NH-150A in the state of karnataka",,53.999,1.83,52.169,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58205
378,58206,(RO Bangalore),Consultancy services for feasibility study detailed project report survey and preparation of land plan for bypass from maski of NH-150A in the state of karnataka,,42.76,2.89,39.87,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58206
379,58207,(RO Bangalore),Consultancy survice of feasibility study detailed project report survey and preparation of land plan for bypass from shindhanur of nh-150A in the state of karnataka,,57.97,3.16,54.81,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58207
380,58213,CE-NH (PWD) Telangana,Widnening to Two lane with paved shoulders form km 59 . 500 to km 132 . 033 of manneguda - Ravulapally section of NH - 163 ( Erstwhile SH - 4 ) on EPC mode under NH ( O ) in the state of Telangana,,218.8,187.3,31.5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58213
381,58217,CE-NH (PWD) Uttar Pradesh,Rehabilitation and up-gradation of Kulpahar- Mahoba (Km. 133.520 to 158.040) of NH-76 & NH-86 (5.360) to Two lane with paved shoulder under EPC mode in the State of Uttar Pradesh.,,0.64,0,0.64,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58217
382,58220,CE-NH (PWD Mahrashtra),Rehabilitation and Up gradation of Rahuri-Sonai-Shani Shinganapur Road of NH-160C to Two lane with paved shoulders Design chainage KM 0+00 to KM 26+160 (Total length 26.160 km) in the state of Maharashtra on EPC Mode.,,60.288,53.59,6.698,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58220
383,58223,CE-NH (PWD) Uttar Pradesh,Rehabilitation and up-gradation of Kabrai- Banda (Km. 178.00 to 215.00) of NH-76 in the State of Uttar Pradesh to Two lane with paved shoulder under EPC mode.,,2.2112,0,2.2112,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58223
384,58239,(RO Chennai),Upgradation to 2-lane/4-lane with paved shoulder configuration of Thanjavur - Pattukottai - Karaikudi (In-Principle NH) in the State of Tamil Nadu,,279.76,217.6,62.16,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58239
385,58246,(CE-NH) MSRDC,Rehabilitation & Up gradation to Two/Four lane with paved shoulder Configuration of NH-65-Jahirabad-Virur-(NH50)- Bhalki(NH52) Nilanga-Nitur-Latur From Km. 00/000 to Km. 64/936 (Design Chainage)- a section of new NH â€“ 752K in the State Of Maharashtra on EPC Mode,,192,182.22,9.78,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58246
386,58250,(CE-NH) MSRDC,Rehabilitation and upgradation of Mantha Taluka Border â€“ Watur Phata â€“ Ashti â€“ Majalgaon â€“ Dharur â€“ Kaij â€“ Kalamb â€“ Yermala â€“ Kusalamb â€“ Barshi section of NH No. 548C to two lane with paved shoulder from Mantha Taluka Border to Partur at Km 461/646 to Km 401/384 of NH 548C( Design Chaiange Km 0/000 at Km 51/262 ) on EPC mode in the State of Maharashtra (Sec.-I),,146.78,129.16,17.62,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58250
387,58251,(CE-NH) MSRDC,Estimate Of Rehabilitation And Upgradation TO Two Lane With paved shoulder of section from partur to Majalgaon from KM. 51/262 to Km. 101/740 Of NH-548c on EPC mode in the State Of Maharashtra .,,197.08,178.27,18.81,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58251
388,58252,(CE-NH) MSRDC,Rehabilitation and upgradation of Mantha Taluka Border â€“ Watur Phata â€“ Ashti â€“ Majalgaon â€“ Dharur â€“ Kaij â€“ Kalamb â€“ Yermala â€“ Kusalamb â€“ Barshi section of NH No. 548C to two lane with paved shoulder from Majalgaon to Kaij at Km 349/906 to Km 290/888 of NH 548C ( Design Chaiange 101/740 at Km 159/258 ) on EPC mode in the State of Maharashtra (Sec.-III),,173.321,160.806,12.515,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58252
