project_code,snapshot_month,sector_name,line_ministry,original_cost_crore,expenditure_crore,days_to_original_deadline,original_deadline_passed,expenditure_to_original_cost_pct,will_schedule_slip_next_3_months
400156,2025-07,Coal,Ministry of Coal,5136,1125.18,974.0,0,21.90771028037383,0
400158,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,1165,901.73,-518.0,1,77.40171673819742,0
400160,2025-07,Coal,Ministry of Coal,511,488.57,-3409.0,1,95.6105675146771,0
400161,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,911,1004.0,-547.0,1,110.2085620197585,1
400162,2025-07,Coal,Ministry of Coal,999,458.01,-853.0,1,45.846846846846844,0
400165,2025-07,Coal,Ministry of Coal,1694,1278.66,1339.0,0,75.48170011806376,1
400166,2025-07,Coal,Ministry of Coal,5195,3455.65,1339.0,0,66.51876804619828,1
400167,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,1163,1156.9,243.0,0,99.47549441100603,0
400168,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,8797,6768.36,-114.0,1,76.93941116289645,1
400169,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,631,505.07,-122.0,1,80.04278922345483,1
400171,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,1421,1180.91,-894.0,1,83.10415200562984,0
400172,2025-07,Coal,Ministry of Coal,514,228.71,243.0,0,44.496108949416346,1
400173,2025-07,Coal,Ministry of Coal,889,85.51,243.0,0,9.618672665916762,1
400174,2025-07,Steel,Ministry of Steel,1034,883.23,-2830.0,1,85.41876208897486,0
400177,2025-07,Coal,Ministry of Coal,727,524.54,-122.0,1,72.15130674002751,0
400178,2025-07,Coal,Ministry of Coal,823,621.73,608.0,0,75.54434993924666,0
400180,2025-07,Coal,Ministry of Coal,570,81.29,243.0,0,14.26140350877193,1
400181,2025-07,Coal,Ministry of Coal,503,70.97,1339.0,0,14.10934393638171,0
400182,2025-07,Coal,Ministry of Coal,535,5.05,608.0,0,0.9439252336448598,1
400183,2025-07,Coal,Ministry of Coal,3504,1027.23,1339.0,0,29.315924657534246,0
400185,2025-07,Coal,Ministry of Coal,8416,1694.31,1704.0,0,20.132010456273765,0
400186,2025-07,Coal,Ministry of Coal,749,51.73,1339.0,0,6.906542056074766,0
400187,2025-07,Coal,Ministry of Coal,2435,1805.65,608.0,0,74.15400410677618,0
400188,2025-07,Real Estate,Ministry of Housing & Urban Affairs,32850,0.0,-943.0,1,0.0,0
400192,2025-07,Coal,Ministry of Power,1581,599.18,304.0,0,37.89879822896901,0
400203,2025-07,Railways,Ministry of Coal,1686,342.96,518.0,0,20.341637010676155,0
400204,2025-07,Railways,Ministry of Railways,4940,1217.13,1917.0,0,24.638259109311743,0
400205,2025-07,Railways,Ministry of Railways,1320,457.35,1339.0,0,34.64772727272727,0
400220,2025-07,Railways,Ministry of Railways,3055,2574.54,-2496.0,1,84.27299509001637,0
400223,2025-07,Railways,Ministry of Railways,713,598.38,243.0,0,83.92426367461431,0
400231,2025-07,Electricity Generation,Ministry of Coal,27213,1938.68,1704.0,0,7.12409510160585,0
400232,2025-07,Railways,Ministry of Railways,297,193.22,518.0,0,65.05723905723906,0
400234,2025-07,Railways,Ministry of Railways,8975,4950.0,243.0,0,55.15320334261838,0
400235,2025-07,Energy Storage,Ministry of Petroleum & Natural Gas,677,518.22,-122.0,1,76.54652880354506,1
400247,2025-07,Railways,Ministry of Railways,1000,1029.97,577.0,0,102.997,0
400253,2025-07,Railways,Ministry of Railways,4803,5722.01,518.0,0,119.13408286487612,0
400254,2025-07,Railways,Ministry of Railways,735,585.09,-212.0,1,79.60408163265306,0
400259,2025-07,Electricity Generation,Ministry of Coal,17238,20135.5,-1708.0,1,116.80879452372666,1
400261,2025-07,Electricity Generation,Ministry of Power,17112,17365.0,-853.0,1,101.47849462365592,0
400271,2025-07,Railways,Ministry of Railways,3445,3002.93,974.0,0,87.16777939042089,0
400273,2025-07,Railways,Ministry of Railways,1189,1287.05,-2314.0,1,108.24642556770394,0
400275,2025-07,Railways,Ministry of Railways,3631,1113.53,-3226.0,1,30.667309281189752,0
400277,2025-07,Railways,Ministry of Railways,8964,8097.47,153.0,0,90.33322177599287,0
400280,2025-07,Railways,Ministry of Railways,734,475.73,-365.0,1,64.8133514986376,0
